Name,Nationality,Current Rank,Previous Year Rank,Sport,Year,earnings ($ million)
Lionel Messi,Argentina,4,10,Soccer,2014,64.7
Kobe Bryant,USA,5,3,Basketball,2014,61.5
Tiger Woods,USA,6,1,Golf,2014,61.2
Roger Federer,Switzerland,7,2,Tennis,2014,56.2
Phil Mickelson,USA,8,7,Golf,2014,53.2
Rafael Nadal,Spain,9,>10,Tennis,2014,44.5
Matt Ryan,USA,10,>10,American Football,2014,43.8
Floyd Mayweather,USA,1,1,Boxing,2015,300
Manny Pacquiao,Philippines,2,>10,Boxing,2015,160
Cristiano Ronaldo,Portugal,3,2,Soccer,2015,79.6
Lionel Messi,Argentina,4,4,Soccer,2015,73.8
Roger Federer,Switzerland,5,7,Tennis,2015,67
LeBron James,USA,6,3,Basketball,2015,64.8
Kevin Durant,USA,7,>10,Basketball,2015,54.2
Phil Mickelson,USA,8,8,Golf,2015,50.8
Tiger Woods,USA,9,6,Golf,2015,50.6
Kobe Bryant,USA,10,5,Basketball,2015,49.5
Cristiano Ronaldo,Portugal,1,3,Soccer,2016,88
Lionel Messi,Argentina,2,4,Soccer,2016,81.4
LeBron James,USA,3,6,Basketball,2016,77.2
Roger Federer,Switzerland,4,5,Tennis,2016,67.8
Kevin Durant,USA,5,7,Basketball,2016,56.2
Novak Djokovic,Serbia,6,>10,Tennis,2016,55.8
Cam Newton,USA,7,>10,American Football,2016,53.1
Phil Mickelson,USA,8,8,Golf,2016,52.9
Jordan Spieth,USA,9,>10,Golf,2016,52.8
Kobe Bryant,USA,10,10,Basketball,2016,50
Cristiano Ronaldo,Portugal,1,1,Soccer,2017,93
LeBron James,USA,2,3,Basketball,2017,86.2
Lionel Messi,Argentina,3,2,Soccer,2017,80
Roger Federer,Switzerland,4,4,Tennis,2017,64
Kevin Durant,USA,5,5,Basketball,2017,60.6
Andrew Luck,USA,6,Not Listed,American Football,2017,50
Rory McIlroy,Northern Ireland,6,>10,Golf,2017,50
Stephen Curry,USA,8,Not Listed,Basketball,2017,47.3
James Harden,USA,9,Not Listed,Basketball,2017,46.6
Lewis Hamilton,UK,10,Not Listed,Auto Racing,2017,46
Floyd Mayweather,USA,1,>10,Boxing,2018,285
Lionel Messi,Argentina,2,3,Soccer,2018,111
Cristiano Ronaldo,Portugal,3,1,Soccer,2018,108
Conor McGregor,Ireland,4,>10,MMA,2018,99
Neymar,Brazil,5,>10,Soccer,2018,90
LeBron James,USA,6,2,Basketball,2018,85.5
Roger Federer,Switzerland,7,4,Tennis,2018,77.2
Stephen Curry,USA,8,8,Basketball,2018,76.9
Matt Ryan,USA,9,>10,American Football,2018,67.3
Matthew Stafford,USA,10,>10,American Football,2018,59.5
Lionel Messi,Argentina,1,2,Soccer,2019,127
Cristiano Ronaldo,Portugal,2,3,Soccer,2019,109
Neymar,Brazil,3,5,Soccer,2019,105
Canelo Alvarez,Mexico,4,>10,Boxing,2019,94
Roger Federer,Switzerland,5,7,Tennis,2019,93.4
Russell Wilson,USA,6,Not Listed,American Football,2019,89.5
Aaron Rogers,USA,7,Not Listed,American Football,2019,89.3
LeBron James,USA,8,6,Basketball,2019,89
Stephen Curry,USA,9,8,Basketball,2019,79.8
Kevin Durant,USA,10,>10,Basketball,2019,65.4
